Local time,Open,High,Low,Close,Volume
04.02.2021 18:00:00.000 GMT-0500,0.90398,0.90422,0.90377,0.90401,1048.52
04.02.2021 19:00:00.000 GMT-0500,0.90402,0.90427,0.90357,0.90376,1294.84
04.02.2021 20:00:00.000 GMT-0500,0.90376,0.90413,0.90368,0.90376,1321.5699
04.02.2021 21:00:00.000 GMT-0500,0.90376,0.90448,0.90369,0.90443,1502.23
04.02.2021 22:00:00.000 GMT-0500,0.90443,0.90455,0.90422,0.90434,951.09
04.02.2021 23:00:00.000 GMT-0500,0.90434,0.90444,0.90421,0.90429,762.1
05.02.2021 00:00:00.000 GMT-0500,0.90428,0.90433,0.90382,0.90383,1014.44
05.02.2021 01:00:00.000 GMT-0500,0.90381,0.90400,0.90363,0.90367,1187.77
05.02.2021 02:00:00.000 GMT-0500,0.90367,0.90395,0.90355,0.90379,2151.9399
05.02.2021 03:00:00.000 GMT-0500,0.90379,0.90379,0.90187,0.90210,5475.2798
05.02.2021 04:00:00.000 GMT-0500,0.90211,0.90295,0.90191,0.90288,2805.3601
05.02.2021 05:00:00.000 GMT-0500,0.90288,0.90299,0.90251,0.90296,2821.8201
05.02.2021 06:00:00.000 GMT-0500,0.90296,0.90362,0.90290,0.90345,3138.6201
05.02.2021 07:00:00.000 GMT-0500,0.90345,0.90351,0.90233,0.90285,3286.95
05.02.2021 08:00:00.000 GMT-0500,0.90287,0.90344,0.90041,0.90201,8491.3496
05.02.2021 09:00:00.000 GMT-0500,0.90203,0.90230,0.90034,0.90053,8811.1602
05.02.2021 10:00:00.000 GMT-0500,0.90056,0.90124,0.89979,0.90041,6357.48
05.02.2021 11:00:00.000 GMT-0500,0.90040,0.90048,0.89925,0.89965,3848.53
05.02.2021 12:00:00.000 GMT-0500,0.89965,0.89993,0.89916,0.89983,3308.02
05.02.2021 13:00:00.000 GMT-0500,0.89981,0.89990,0.89929,0.89955,2523.28
05.02.2021 14:00:00.000 GMT-0500,0.89955,0.89967,0.89929,0.89966,1729.5699
05.02.2021 15:00:00.000 GMT-0500,0.89965,0.89968,0.89883,0.89906,2238.03
05.02.2021 16:00:00.000 GMT-0500,0.89910,0.89938,0.89841,0.89841,745.07
05.02.2021 17:00:00.000 GMT-0500,0.89841,0.89841,0.89841,0.89841,0
05.02.2021 18:00:00.000 GMT-0500,0.89841,0.89841,0.89841,0.89841,0
05.02.2021 19:00:00.000 GMT-0500,0.89841,0.89841,0.89841,0.89841,0
05.02.2021 20:00:00.000 GMT-0500,0.89841,0.89841,0.89841,0.89841,0
